date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:14	99881/99881	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:14%20GMT	https://www.banouto.bj/investigation-reportages/article/20231020-lutte-anti-terroriste-au-benin-c-est-dur-mais-nous-sommes-des-militaires	www.banouto.bj/investigation-reportages/article/20231020-lutte-anti-terroriste-au-benin-c-est-dur-mais-nous-sommes-des-militaires.html	(from https://www.banouto.bj/)
11:56:20	100676/100676	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:15%20GMT	https://www.banouto.bj/investigation-reportages/article/20231018-benin-au-nord-la-menace-terroriste-bouscule-des-habitudes	www.banouto.bj/investigation-reportages/article/20231018-benin-au-nord-la-menace-terroriste-bouscule-des-habitudes.html	(from https://www.banouto.bj/)
11:56:20	107272/107272	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:19%20GMT	https://www.banouto.bj/investigation-reportages/article/20231018-operation-mirador-comment-l-armee-beninoise-fait-face-a-la-menace-terroriste	www.banouto.bj/investigation-reportages/article/20231018-operation-mirador-comment-l-armee-beninoise-fait-face-a-la-menace-terroriste.html	(from https://www.banouto.bj/)
11:56:21	6609/6609	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2027%20Oct%202024%2010:56:21%20GMT	https://www.banouto.bj/videos	www.banouto.bj/videos	(from https://www.banouto.bj/)
11:56:23	95834/95834	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:22%20GMT	https://www.banouto.bj/societe/article/20231121-declaration-des-employes-de-maison-a-la-cnss-au-benin-voici-les-etapes-a-suivre	www.banouto.bj/societe/article/20231121-declaration-des-employes-de-maison-a-la-cnss-au-benin-voici-les-etapes-a-suivre.html	(from https://www.banouto.bj/)
11:56:27	95221/95221	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:27%20GMT	https://www.banouto.bj/societe/article/20230910-lutte-contre-la-malnutrition-chez-les-femmes-et-les-enfants-benin-care-et-gain-lancent-le-projet-cascade	www.banouto.bj/societe/article/20230910-lutte-contre-la-malnutrition-chez-les-femmes-et-les-enfants-benin-care-et-gain-lancent-le-projet-cascade.html	(from https://www.banouto.bj/)
11:56:32	41404/41404	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202024%2015:09:07%20GMT	https://www.banouto.bj/images/imagekit/mobile/w780/hama-amadou	www.banouto.bj/images/imagekit/mobile/w780/hama-amadou.html	(from https://www.banouto.bj/)
11:56:33	92366/92366	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:30%20GMT	https://www.banouto.bj/societe/article/20230830-formation-en-expertise-comptable-le-cifec-benin-en-journees-portes-ouvertes-du-04-au-09-septembre	www.banouto.bj/societe/article/20230830-formation-en-expertise-comptable-le-cifec-benin-en-journees-portes-ouvertes-du-04-au-09-septembre.html	(from https://www.banouto.bj/)
11:56:35	95855/95855	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:33%20GMT	https://www.banouto.bj/politique/article/20241024-affaire-tentative-de-coup-detat-vlavonou-invite-les-deputes-a-la-retenue	www.banouto.bj/politique/article/20241024-affaire-tentative-de-coup-detat-vlavonou-invite-les-deputes-a-la-retenue.html	(from https://www.banouto.bj/)
11:56:36	95306/95306	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:34%20GMT	https://www.banouto.bj/politique/article/20241024-assemblee-nationale-du-benin-voici-les-enjeux-majeurs-de-la-2e-session-ordinaire-de-l-annee-2024	www.banouto.bj/politique/article/20241024-assemblee-nationale-du-benin-voici-les-enjeux-majeurs-de-la-2e-session-ordinaire-de-l-annee-2024.html	(from https://www.banouto.bj/)
11:56:36	97633/97633	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202024%2010:56:35%20GMT	https://www.banouto.bj/politique/article/20241023-assemblee-nationale-du-benin-les-18-points-majeurs-a-l-ordre-du-jour-de-la-2e-session-ordinaire-2024	www.banouto.bj/politique/article/20241023-assemblee-nationale-du-benin-les-18-points-majeurs-a-l-ordre-du-jour-de-la-2e-session-ordinaire-2024.html	(from https://www.banouto.bj/)
